year_month	county	hd	sd	cd	party	count
12/1/2012	BAKER	60	30	2	Democrat	2576
12/1/2012	BAKER	60	30	2	Independent Party	491
12/1/2012	BAKER	60	30	2	NAV+	2381
12/1/2012	BAKER	60	30	2	Republican	4760
12/1/2012	BENTON	15	8	4	Democrat	245
12/1/2012	BENTON	15	8	4	Independent Party	30
12/1/2012	BENTON	15	8	4	NAV+	183
12/1/2012	BENTON	15	8	4	Republican	236
12/1/2012	BENTON	15	8	5	Democrat	2044
12/1/2012	BENTON	15	8	5	Independent Party	225
12/1/2012	BENTON	15	8	5	NAV+	1221
12/1/2012	BENTON	15	8	5	Republican	2723
12/1/2012	BENTON	16	8	4	Democrat	16935
12/1/2012	BENTON	16	8	4	Independent Party	1599
12/1/2012	BENTON	16	8	4	NAV+	10018
12/1/2012	BENTON	16	8	4	Republican	8470
12/1/2012	BENTON	23	12	4	Democrat	2981
12/1/2012	BENTON	23	12	4	Independent Party	281
12/1/2012	BENTON	23	12	4	NAV+	1758
12/1/2012	BENTON	23	12	4	Republican	2584
12/1/2012	BENTON	23	12	5	Democrat	346
12/1/2012	BENTON	23	12	5	Independent Party	39
12/1/2012	BENTON	23	12	5	NAV+	255
12/1/2012	BENTON	23	12	5	Republican	347
12/1/2012	CLACKAMAS	18	9	3	Democrat	778
12/1/2012	CLACKAMAS	18	9	3	Independent Party	86
12/1/2012	CLACKAMAS	18	9	3	NAV+	636
12/1/2012	CLACKAMAS	18	9	3	Republican	912
12/1/2012	CLACKAMAS	18	9	5	Democrat	3596
12/1/2012	CLACKAMAS	18	9	5	Independent Party	466
12/1/2012	CLACKAMAS	18	9	5	NAV+	3083
12/1/2012	CLACKAMAS	18	9	5	Republican	5362
12/1/2012	CLACKAMAS	26	13	5	Democrat	3079
12/1/2012	CLACKAMAS	26	13	5	Independent Party	489
12/1/2012	CLACKAMAS	26	13	5	NAV+	2279
12/1/2012	CLACKAMAS	26	13	5	Republican	3505
12/1/2012	CLACKAMAS	35	18	5	Democrat	194
12/1/2012	CLACKAMAS	35	18	5	Independent Party	13
12/1/2012	CLACKAMAS	35	18	5	NAV+	120
12/1/2012	CLACKAMAS	35	18	5	Republican	179
12/1/2012	CLACKAMAS	37	19	5	Democrat	9635
12/1/2012	CLACKAMAS	37	19	5	Independent Party	1056
12/1/2012	CLACKAMAS	37	19	5	NAV+	5536
12/1/2012	CLACKAMAS	37	19	5	Republican	9429
12/1/2012	CLACKAMAS	38	19	5	Democrat	10404
12/1/2012	CLACKAMAS	38	19	5	Independent Party	1065
12/1/2012	CLACKAMAS	38	19	5	NAV+	5206
12/1/2012	CLACKAMAS	38	19	5	Republican	8447
12/1/2012	CLACKAMAS	39	20	3	Democrat	8367
12/1/2012	CLACKAMAS	39	20	3	Independent Party	898
12/1/2012	CLACKAMAS	39	20	3	NAV+	5835
12/1/2012	CLACKAMAS	39	20	3	Republican	8886
12/1/2012	CLACKAMAS	39	20	5	Democrat	5389
12/1/2012	CLACKAMAS	39	20	5	Independent Party	681
12/1/2012	CLACKAMAS	39	20	5	NAV+	3215
12/1/2012	CLACKAMAS	39	20	5	Republican	7019
12/1/2012	CLACKAMAS	40	20	3	Democrat	6
12/1/2012	CLACKAMAS	40	20	3	Independent Party	1
12/1/2012	CLACKAMAS	40	20	3	NAV+	2
12/1/2012	CLACKAMAS	40	20	3	Republican	7
12/1/2012	CLACKAMAS	40	20	5	Democrat	15167
12/1/2012	CLACKAMAS	40	20	5	Independent Party	1596
12/1/2012	CLACKAMAS	40	20	5	NAV+	9341
12/1/2012	CLACKAMAS	40	20	5	Republican	11926
12/1/2012	CLACKAMAS	41	21	5	Democrat	11265
12/1/2012	CLACKAMAS	41	21	5	Independent Party	1026
12/1/2012	CLACKAMAS	41	21	5	NAV+	6158
12/1/2012	CLACKAMAS	41	21	5	Republican	6136
12/1/2012	CLACKAMAS	48	24	3	Democrat	127
12/1/2012	CLACKAMAS	48	24	3	Independent Party	15
12/1/2012	CLACKAMAS	48	24	3	NAV+	83
12/1/2012	CLACKAMAS	48	24	3	Republican	213
12/1/2012	CLACKAMAS	48	24	5	Democrat	6236
12/1/2012	CLACKAMAS	48	24	5	Independent Party	691
12/1/2012	CLACKAMAS	48	24	5	NAV+	3997
12/1/2012	CLACKAMAS	48	24	5	Republican	4820
12/1/2012	CLACKAMAS	51	26	3	Democrat	4181
12/1/2012	CLACKAMAS	51	26	3	Independent Party	471
12/1/2012	CLACKAMAS	51	26	3	NAV+	3005
12/1/2012	CLACKAMAS	51	26	3	Republican	4687
12/1/2012	CLACKAMAS	51	26	5	Democrat	2266
12/1/2012	CLACKAMAS	51	26	5	Independent Party	272
12/1/2012	CLACKAMAS	51	26	5	NAV+	1686
12/1/2012	CLACKAMAS	51	26	5	Republican	2115
12/1/2012	CLACKAMAS	52	26	3	Democrat	6143
12/1/2012	CLACKAMAS	52	26	3	Independent Party	736
12/1/2012	CLACKAMAS	52	26	3	NAV+	4772
12/1/2012	CLACKAMAS	52	26	3	Republican	6090
12/1/2012	CLACKAMAS	59	30	5	NAV+	0
12/1/2012	CLATSOP	32	16	1	Democrat	8900
12/1/2012	CLATSOP	32	16	1	Independent Party	861
12/1/2012	CLATSOP	32	16	1	NAV+	5662
12/1/2012	CLATSOP	32	16	1	Republican	6322
12/1/2012	COLUMBIA	31	16	1	Democrat	11945
12/1/2012	COLUMBIA	31	16	1	Independent Party	1140
12/1/2012	COLUMBIA	31	16	1	NAV+	7396
12/1/2012	COLUMBIA	31	16	1	Republican	8794
12/1/2012	COOS	1	1	4	Democrat	5148
12/1/2012	COOS	1	1	4	Independent Party	623
12/1/2012	COOS	1	1	4	NAV+	3340
12/1/2012	COOS	1	1	4	Republican	5586
12/1/2012	COOS	9	5	4	Democrat	7944
12/1/2012	COOS	9	5	4	Independent Party	847
12/1/2012	COOS	9	5	4	NAV+	4746
12/1/2012	COOS	9	5	4	Republican	6789
12/1/2012	CROOK	55	28	2	Democrat	3326
12/1/2012	CROOK	55	28	2	Independent Party	611
12/1/2012	CROOK	55	28	2	NAV+	2766
12/1/2012	CROOK	55	28	2	Republican	5630
12/1/2012	CURRY	1	1	4	Democrat	4349
12/1/2012	CURRY	1	1	4	Independent Party	812
12/1/2012	CURRY	1	1	4	NAV+	3058
12/1/2012	CURRY	1	1	4	Republican	5725
12/1/2012	DESCHUTES	53	27	2	Democrat	11506
12/1/2012	DESCHUTES	53	27	2	Independent Party	2190
12/1/2012	DESCHUTES	53	27	2	NAV+	9307
12/1/2012	DESCHUTES	53	27	2	Republican	16117
12/1/2012	DESCHUTES	54	27	2	Democrat	14133
12/1/2012	DESCHUTES	54	27	2	Independent Party	2442
12/1/2012	DESCHUTES	54	27	2	NAV+	10714
12/1/2012	DESCHUTES	54	27	2	Republican	12339
12/1/2012	DESCHUTES	55	28	2	Democrat	2203
12/1/2012	DESCHUTES	55	28	2	Independent Party	440
12/1/2012	DESCHUTES	55	28	2	NAV+	1752
12/1/2012	DESCHUTES	55	28	2	Republican	3002
12/1/2012	DESCHUTES	59	30	2	Democrat	3458
12/1/2012	DESCHUTES	59	30	2	Independent Party	654
12/1/2012	DESCHUTES	59	30	2	NAV+	2494
12/1/2012	DESCHUTES	59	30	2	Republican	5654
12/1/2012	DOUGLAS	1	1	4	Democrat	2616
12/1/2012	DOUGLAS	1	1	4	Independent Party	383
12/1/2012	DOUGLAS	1	1	4	NAV+	1768
12/1/2012	DOUGLAS	1	1	4	Republican	4885
12/1/2012	DOUGLAS	2	1	4	Democrat	9373
12/1/2012	DOUGLAS	2	1	4	Independent Party	1383
12/1/2012	DOUGLAS	2	1	4	NAV+	6873
12/1/2012	DOUGLAS	2	1	4	Republican	13028
12/1/2012	DOUGLAS	7	4	4	Democrat	5545
12/1/2012	DOUGLAS	7	4	4	Independent Party	905
12/1/2012	DOUGLAS	7	4	4	NAV+	4200
12/1/2012	DOUGLAS	7	4	4	Republican	8642
12/1/2012	DOUGLAS	9	5	4	Democrat	1242
12/1/2012	DOUGLAS	9	5	4	Independent Party	147
12/1/2012	DOUGLAS	9	5	4	NAV+	679
12/1/2012	DOUGLAS	9	5	4	Republican	1205
12/1/2012	GILLIAM	57	29	2	Democrat	350
12/1/2012	GILLIAM	57	29	2	Independent Party	56
12/1/2012	GILLIAM	57	29	2	NAV+	262
12/1/2012	GILLIAM	57	29	2	Republican	575
12/1/2012	GRANT	60	30	2	Democrat	1083
12/1/2012	GRANT	60	30	2	Independent Party	186
12/1/2012	GRANT	60	30	2	NAV+	912
12/1/2012	GRANT	60	30	2	Republican	2331
12/1/2012	HARNEY	60	30	2	Democrat	993
12/1/2012	HARNEY	60	30	2	Independent Party	167
12/1/2012	HARNEY	60	30	2	NAV+	881
12/1/2012	HARNEY	60	30	2	Republican	2280
12/1/2012	HOOD RIVER	52	26	2	Democrat	4940
12/1/2012	HOOD RIVER	52	26	2	Independent Party	498
12/1/2012	HOOD RIVER	52	26	2	NAV+	3171
12/1/2012	HOOD RIVER	52	26	2	Republican	3110
12/1/2012	JACKSON	2	1	2	Democrat	241
12/1/2012	JACKSON	2	1	2	Independent Party	61
12/1/2012	JACKSON	2	1	2	NAV+	231
12/1/2012	JACKSON	2	1	2	Republican	403
12/1/2012	JACKSON	4	2	2	Democrat	7997
12/1/2012	JACKSON	4	2	2	Independent Party	1727
12/1/2012	JACKSON	4	2	2	NAV+	7422
12/1/2012	JACKSON	4	2	2	Republican	14130
12/1/2012	JACKSON	5	3	2	Democrat	18680
12/1/2012	JACKSON	5	3	2	Independent Party	2025
12/1/2012	JACKSON	5	3	2	NAV+	9875
12/1/2012	JACKSON	5	3	2	Republican	11806
12/1/2012	JACKSON	6	3	2	Democrat	10463
12/1/2012	JACKSON	6	3	2	Independent Party	1862
12/1/2012	JACKSON	6	3	2	NAV+	8107
12/1/2012	JACKSON	6	3	2	Republican	13487
12/1/2012	JACKSON	55	28	2	Democrat	3147
12/1/2012	JACKSON	55	28	2	Independent Party	640
12/1/2012	JACKSON	55	28	2	NAV+	2942
12/1/2012	JACKSON	55	28	2	Republican	5645
12/1/2012	JEFFERSON	59	30	2	Democrat	3209
12/1/2012	JEFFERSON	59	30	2	Independent Party	546
12/1/2012	JEFFERSON	59	30	2	NAV+	2362
12/1/2012	JEFFERSON	59	30	2	Republican	4041
12/1/2012	JOSEPHINE	1	1	4	Democrat	699
12/1/2012	JOSEPHINE	1	1	4	Independent Party	134
12/1/2012	JOSEPHINE	1	1	4	NAV+	760
12/1/2012	JOSEPHINE	1	1	4	Republican	1040
12/1/2012	JOSEPHINE	2	1	4	Democrat	912
12/1/2012	JOSEPHINE	2	1	4	Independent Party	185
12/1/2012	JOSEPHINE	2	1	4	NAV+	866
12/1/2012	JOSEPHINE	2	1	4	Republican	1587
12/1/2012	JOSEPHINE	3	2	2	Democrat	7377
12/1/2012	JOSEPHINE	3	2	2	Independent Party	1381
12/1/2012	JOSEPHINE	3	2	2	NAV+	6414
12/1/2012	JOSEPHINE	3	2	2	Republican	11376
12/1/2012	JOSEPHINE	3	2	4	Democrat	3997
12/1/2012	JOSEPHINE	3	2	4	Independent Party	606
12/1/2012	JOSEPHINE	3	2	4	NAV+	3659
12/1/2012	JOSEPHINE	3	2	4	Republican	5056
12/1/2012	JOSEPHINE	4	2	2	Democrat	1490
12/1/2012	JOSEPHINE	4	2	2	Independent Party	245
12/1/2012	JOSEPHINE	4	2	2	NAV+	1279
12/1/2012	JOSEPHINE	4	2	2	Republican	2636
12/1/2012	JOSEPHINE	4	2	4	Democrat	119
12/1/2012	JOSEPHINE	4	2	4	Independent Party	18
12/1/2012	JOSEPHINE	4	2	4	NAV+	101
12/1/2012	JOSEPHINE	4	2	4	Republican	189
12/1/2012	KLAMATH	5	3	2	NAV+	0
12/1/2012	KLAMATH	55	28	2	Democrat	1278
12/1/2012	KLAMATH	55	28	2	Independent Party	259
12/1/2012	KLAMATH	55	28	2	NAV+	952
